Date,Open,High,Low,Close,Volume,es_open,es_high,es_low,es_close,DoW,month,day
2021-06-17,4214.25,4232.5,4193.0,4222.25,326193,18.489999771118164,19.219999313354492,16.709999084472656,17.75,4,6,17
2021-06-18,4225.75,4231.0,4183.75,4187.25,1951342,16.959999084472656,21.040000915527344,16.920000076293945,20.700000762939453,5,6,18
2021-06-21,4142.5,4219.75,4126.75,4213.75,1425623,21.739999771118164,21.81999969482422,17.809999465942383,17.889999389648438,1,6,21
2021-06-22,4219.25,4245.5,4205.75,4236.25,1063749,17.90999984741211,18.31999969482422,15.760000228881836,16.65999984741211,2,6,22
2021-06-23,4237.5,4248.25,4230.5,4231.5,938299,16.25,16.84000015258789,14.859999656677246,16.31999969482422,3,6,23
2021-06-24,4233.75,4263.75,4231.75,4256.0,878788,15.989999771118164,16.049999237060547,14.1899995803833,15.970000267028809,4,6,24
2021-06-25,4262.0,4276.75,4253.5,4271.25,906160,16.040000915527344,16.170000076293945,15.210000038146973,15.619999885559082,5,6,25
2021-06-28,4275.0,4282.0,4264.25,4280.5,823723,16.06999969482422,16.459999084472656,15.390000343322754,15.760000228881836,1,6,28
2021-06-29,4280.5,4291.0,4271.75,4282.0,741471,15.6899995803833,16.309999465942383,14.100000381469727,16.020000457763672,2,6,29
2021-06-30,4284.75,4294.25,4269.25,4288.5,1100062,16.18000030517578,17.309999465942383,15.579999923706055,15.829999923706055,3,6,30
2021-07-01,4294.25,4312.0,4286.0,4310.75,985190,15.619999885559082,16.010000228881836,15.3100004196167,15.479999542236328,4,7,1
2021-07-02,4309.75,4347.0,4308.0,4342.75,999780,15.529999732971191,15.539999961853027,14.25,15.069999694824219,5,7,2
2021-07-06,4341.0,4348.0,4305.25,4334.0,1368133,15.770000457763672,17.940000534057617,15.729999542236328,16.440000534057617,2,7,6
2021-07-07,4328.0,4353.25,4320.25,4349.75,1221078,16.43000030517578,17.639999389648438,16.079999923706055,16.200000762939453,3,7,7
2021-07-08,4352.25,4352.25,4279.25,4313.0,1991636,17.739999771118164,21.290000915527344,17.739999771118164,19.0,4,7,8
2021-07-09,4310.25,4364.0,4293.25,4360.0,1311506,17.8799991607666,18.1299991607666,16.079999923706055,16.18000030517578,5,7,9
2021-07-12,4362.0,4379.25,4341.75,4376.5,1055739,16.850000381469727,17.520000457763672,16.139999389648438,16.170000076293945,1,7,12
2021-07-13,4377.0,4383.75,4356.5,4361.25,1249893,16.389999389648438,17.229999542236328,15.9399995803833,17.1200008392334,2,7,13
2021-07-14,4359.5,4384.5,4350.0,4367.75,1308582,17.34000015258789,17.510000228881836,15.949999809265137,16.329999923706055,3,7,14
2021-07-15,4366.5,4370.25,4332.5,4352.0,1611726,16.700000762939453,18.09000015258789,16.559999465942383,17.010000228881836,4,7,15
